company,statementDate,quarter,year,accountClassification,account,amount
AMD,2007-12-31,4,2007,2 - Non-Current Assets,2.2 - Goodwill,1907000000.0
AMD,2007-12-31,4,2007,2 - Non-Current Assets,2.3 - Other Intangible Assets,587000000.0
AMD,2007-12-31,4,2007,2 - Non-Current Assets,2.4 - Other Non-Current Assets,520000000.0
AMD,2007-12-31,4,2007,3 - Current Liabilities,3.1 - Accounts Payable,1009000000.0
AMD,2007-12-31,4,2007,3 - Current Liabilities,3.2 - Accrued Liabilities,1007000000.0
AMD,2007-12-31,4,2007,3 - Current Liabilities,3.3 - Other Current Liabilities,609000000.0
AMD,2007-12-31,4,2007,4 - Non-Current Liabilities,4.1 - Long-Term Debt,5031000000.0
AMD,2007-12-31,4,2007,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,639000000.0
AMD,2007-12-31,4,2007,5 - Equity,5.1 - Stockholders Equity,3255000000.0
AMD,2006-12-31,4,2006,1 - Current Assets,1.1 - Cash & Cash Equivalents,1380000000.0
AMD,2006-12-31,4,2006,1 - Current Assets,1.2 - Short Term Investments,161000000.0
AMD,2006-12-31,4,2006,1 - Current Assets,1.3 - Accounts Receivable,1150000000.0
AMD,2006-12-31,4,2006,1 - Current Assets,1.4 - Inventory,814000000.0
AMD,2006-12-31,4,2006,1 - Current Assets,1.5 - Other Current Assets,458000000.0
AMD,2006-12-31,4,2006,2 - Non-Current Assets,2.1 - Net PPE,3987000000.0
AMD,2006-12-31,4,2006,2 - Non-Current Assets,2.2 - Goodwill,3217000000.0
AMD,2006-12-31,4,2006,2 - Non-Current Assets,2.3 - Other Intangible Assets,1207000000.0
AMD,2006-12-31,4,2006,2 - Non-Current Assets,2.4 - Other Non-Current Assets,773000000.0
AMD,2006-12-31,4,2006,3 - Current Liabilities,3.1 - Accounts Payable,1338000000.0
AMD,2006-12-31,4,2006,3 - Current Liabilities,3.2 - Accrued Liabilities,893000000.0
AMD,2006-12-31,4,2006,3 - Current Liabilities,3.3 - Other Current Liabilities,621000000.0
AMD,2006-12-31,4,2006,4 - Non-Current Liabilities,4.1 - Long-Term Debt,3672000000.0
AMD,2006-12-31,4,2006,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,548000000.0
AMD,2006-12-31,4,2006,5 - Equity,5.1 - Stockholders Equity,6075000000.0
AMD,2005-12-31,4,2005,1 - Current Assets,1.1 - Cash & Cash Equivalents,633067000.0
AMD,2005-12-31,4,2005,1 - Current Assets,1.2 - Short Term Investments,1161699000.0
AMD,2005-12-31,4,2005,1 - Current Assets,1.3 - Accounts Receivable,948817000.0
AMD,2005-12-31,4,2005,1 - Current Assets,1.4 - Inventory,388631000.0
AMD,2005-12-31,4,2005,1 - Current Assets,1.5 - Other Current Assets,426623000.0
AMD,2005-12-31,4,2005,2 - Non-Current Assets,2.1 - Net PPE,2701000000.0
AMD,2005-12-31,4,2005,2 - Non-Current Assets,2.2 - Goodwill,0.0
AMD,2005-12-31,4,2005,2 - Non-Current Assets,2.3 - Other Intangible Assets,0.0
AMD,2005-12-31,4,2005,2 - Non-Current Assets,2.4 - Other Non-Current Assets,1027942000.0
AMD,2005-12-31,4,2005,3 - Current Liabilities,3.1 - Accounts Payable,855834000.0
AMD,2005-12-31,4,2005,3 - Current Liabilities,3.2 - Accrued Liabilities,634487000.0
AMD,2005-12-31,4,2005,3 - Current Liabilities,3.3 - Other Current Liabilities,331640000.0
AMD,2005-12-31,4,2005,4 - Non-Current Liabilities,4.1 - Long-Term Debt,1327065000.0
AMD,2005-12-31,4,2005,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,551928000.0
AMD,2005-12-31,4,2005,5 - Equity,5.1 - Stockholders Equity,3586825000.0
AMD,2004-12-31,4,2004,1 - Current Assets,1.1 - Cash & Cash Equivalents,918377000.0
AMD,2004-12-31,4,2004,1 - Current Assets,1.2 - Short Term Investments,277182000.0
AMD,2004-12-31,4,2004,1 - Current Assets,1.3 - Accounts Receivable,719572000.0
AMD,2004-12-31,4,2004,1 - Current Assets,1.4 - Inventory,874790000.0
AMD,2004-12-31,4,2004,1 - Current Assets,1.5 - Other Current Assets,438076000.0
AMD,2004-12-31,4,2004,2 - Non-Current Assets,2.1 - Net PPE,4233807000.0
AMD,2004-12-31,4,2004,2 - Non-Current Assets,2.2 - Goodwill,0.0
AMD,2004-12-31,4,2004,2 - Non-Current Assets,2.3 - Other Intangible Assets,0.0
AMD,2004-12-31,4,2004,2 - Non-Current Assets,2.4 - Other Non-Current Assets,382406000.0
AMD,2004-12-31,4,2004,3 - Current Liabilities,3.1 - Accounts Payable,655123000.0
AMD,2004-12-31,4,2004,3 - Current Liabilities,3.2 - Accrued Liabilities,636872000.0
AMD,2004-12-31,4,2004,3 - Current Liabilities,3.3 - Other Current Liabilities,554381000.0
AMD,2004-12-31,4,2004,4 - Non-Current Liabilities,4.1 - Long-Term Debt,1628268000.0
AMD,2004-12-31,4,2004,4 - Non-Current Liabilities,4.2 - Other Non-Current Liabilities,518872000.0
