company,statementDate,quarter,year,accountClassification,account,amount
AMD,2016-09-30,3,2016,3 - Other Income/Expenses,3.2 - Net Other Expenses,-63000000.0
AMD,2016-09-30,3,2016,4 - Taxes,4.1 - Taxes,9000000.0
AMD,2016-06-30,2,2016,1 - Gross Profit,1.1 - Revenue,1027000000.0
AMD,2016-06-30,2,2016,1 - Gross Profit,1.2 - COGS,-708000000.0
AMD,2016-06-30,2,2016,2 - Operating Expenses,2.1 - SG&A,-117000000.0
AMD,2016-06-30,2,2016,2 - Operating Expenses,2.2 - R&D,-243000000.0
AMD,2016-06-30,2,2016,2 - Operating Expenses,2.3 - Operating Expenses,26000000.0
AMD,2016-06-30,2,2016,3 - Other Income/Expenses,3.1 - Net Interest Expense,-41000000.0
AMD,2016-06-30,2,2016,3 - Other Income/Expenses,3.2 - Net Other Expenses,157000000.0
AMD,2016-06-30,2,2016,4 - Taxes,4.1 - Taxes,32000000.0
AMD,2016-03-31,1,2016,1 - Gross Profit,1.1 - Revenue,832000000.0
AMD,2016-03-31,1,2016,1 - Gross Profit,1.2 - COGS,-563000000.0
AMD,2016-03-31,1,2016,2 - Operating Expenses,2.1 - SG&A,-105000000.0
AMD,2016-03-31,1,2016,2 - Operating Expenses,2.2 - R&D,-242000000.0
AMD,2016-03-31,1,2016,2 - Operating Expenses,2.3 - Operating Expenses,7000000.0
AMD,2016-03-31,1,2016,3 - Other Income/Expenses,3.1 - Net Interest Expense,-40000000.0
AMD,2016-03-31,1,2016,3 - Other Income/Expenses,3.2 - Net Other Expenses,3000000.0
AMD,2016-03-31,1,2016,4 - Taxes,4.1 - Taxes,1000000.0
AMD,2015-12-31,4,2015,1 - Gross Profit,1.1 - Revenue,958000000.0
AMD,2015-12-31,4,2015,1 - Gross Profit,1.2 - COGS,-675000000.0
AMD,2015-12-31,4,2015,2 - Operating Expenses,2.1 - SG&A,-109000000.0
AMD,2015-12-31,4,2015,2 - Operating Expenses,2.2 - R&D,-229000000.0
AMD,2015-12-31,4,2015,2 - Operating Expenses,2.3 - Operating Expenses,0.0
AMD,2015-12-31,4,2015,3 - Other Income/Expenses,3.1 - Net Interest Expense,-41000000.0
AMD,2015-12-31,4,2015,3 - Other Income/Expenses,3.2 - Net Other Expenses,4000000.0
AMD,2015-12-31,4,2015,4 - Taxes,4.1 - Taxes,10000000.0
