Date,Open,High,Low,Close,Adj Close,Volume
2011-09-01,51.919998,54.299999,47.599998,48.630001,37.128071,355294800
2011-10-01,48.209999,55.029999,46.400002,51.599998,39.395622,332568800
2011-11-01,49.919998,57.970001,49.779999,54.799999,41.838745,368909400
2011-12-01,54.700001,55.730000,51.759998,54.700001,41.924324,231717500
2012-01-01,55.880001,59.500000,54.560001,58.820000,45.082047,260814400
2012-02-01,59.480000,63.810001,58.790001,62.180000,47.657303,267610000
2012-03-01,62.209999,68.870003,60.930000,68.059998,52.343502,248342900
2012-04-01,68.250000,68.830002,61.259998,63.830002,49.090313,309262200
2012-05-01,63.820000,64.720001,55.720001,57.310001,44.075920,287894400
2012-06-01,55.970001,59.689999,53.410000,55.680000,43.006454,302112200
2012-07-01,55.650002,60.189999,53.090000,59.680000,46.096008,253532600
2012-08-01,60.090000,63.340000,58.160000,61.459999,47.470829,192029200
2012-09-01,61.200001,65.449997,60.279999,62.470001,48.250954,214726500
2012-10-01,62.730000,63.750000,57.290001,58.610001,45.456421,231781400
2012-11-01,58.709999,63.810001,58.110001,63.619999,49.342045,266322600
2012-12-01,63.910000,64.720001,59.439999,61.860001,47.977036,249965500
2013-01-01,63.580002,67.440002,62.330002,66.019997,51.405907,267972300
2013-02-01,66.400002,67.449997,64.320000,65.639999,51.110023,209187100
2013-03-01,65.339996,68.500000,63.400002,66.940002,52.122265,218642700
2013-04-01,66.699997,67.650002,61.250000,61.599998,48.141380,327015000
2013-05-01,61.430000,66.669998,61.430000,63.480000,49.610630,255376600
2013-06-01,63.369999,64.040001,59.459999,61.090000,47.742813,301951000
2013-07-01,61.490002,65.190002,59.020000,64.559998,50.734390,314058800
2013-08-01,64.779999,67.449997,64.309998,66.279999,52.086052,221520500
2013-09-01,66.919998,70.370003,66.519997,67.320000,53.182365,237329200
2013-10-01,67.400002,69.980003,65.470001,69.489998,54.896656,189057500
2013-11-01,69.529999,73.889999,66.250000,73.580002,58.127720,263683800
2013-12-01,73.529999,74.320000,71.680000,74.250000,58.937107,173783100
2014-01-01,73.610001,75.900002,70.980003,74.220001,58.913284,226240200
