name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989
TotalLiabilitiesNetMinorityInterest,"2,378,285,000","2,289,839,000","2,725,452,000","2,231,493,000","2,220,367,000","2,262,524,000","2,249,668,000","1,766,155,000","1,756,437,000","1,726,233,000","1,063,848,000","1,087,615,000","1,465,284,000","1,406,615,000","444,662,000","365,688,000","454,411,000","470,937,000","431,620,000","583,880,000","571,984,000","190,930,000","391,063,000","357,013,000","352,636,000","76,900,000","53,300,000","39,600,000","37,900,000","28,300,000","11,800,000","9,100,000"
	CurrentLiabilities,"1,085,681,000","475,036,000","937,203,000","897,196,000","946,086,000","963,206,000","989,360,000","386,788,000","342,776,000","368,140,000","357,161,000","233,066,000","340,666,000","303,369,000","345,024,000","298,394,000","381,130,000","313,834,000","195,840,000","350,410,000","244,712,000","167,197,000","125,657,000","97,253,000","102,636,000","76,100,000","51,100,000","35,700,000","33,000,000","24,500,000","9,800,000","7,300,000"
		PayablesAndAccruedExpenses,"354,179,000","235,818,000","214,101,000","216,490,000","157,802,000","162,287,000","218,826,000","216,051,000","198,375,000","142,795,000","239,998,000","170,702,000","189,730,000","154,200,000","157,090,000","150,048,000","169,721,000","107,805,000","54,279,000","133,450,000","86,157,000","43,549,000","47,668,000","44,676,000","58,907,000","22,500,000","10,800,000","6,200,000","6,800,000","5,300,000","4,300,000",
			Payables,"138,348,000","146,209,000","146,712,000","114,602,000","107,820,000","99,806,000","162,631,000","142,615,000","87,276,000","99,252,000","116,748,000","58,372,000","59,402,000","78,912,000","71,004,000","63,172,000","77,936,000","41,739,000","36,731,000","104,674,000","56,361,000","23,326,000","20,332,000","16,758,000","30,673,000","22,500,000","10,800,000","6,200,000","6,800,000","5,300,000","4,300,000",
				AccountsPayable,"102,131,000","117,491,000","98,999,000","108,293,000","101,534,000","80,113,000","149,695,000","72,766,000","78,613,000","99,252,000","96,169,000","48,201,000","59,402,000","78,912,000","71,004,000","63,172,000","77,936,000","41,739,000","36,731,000","104,674,000","56,361,000","23,326,000","20,332,000","16,758,000","30,673,000","22,500,000","10,800,000","6,200,000","6,800,000","5,300,000","4,300,000",
				TotalTaxPayable,"36,217,000","28,718,000","47,713,000","6,309,000","6,286,000","19,693,000","12,936,000","69,849,000","8,663,000","0","14,452,000","10,171,000",,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,"36,217,000","28,718,000","47,713,000","6,309,000","6,286,000","19,693,000","12,936,000","60,632,000",,,"14,452,000","10,171,000",,,,,,,,,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,,"6,127,000",,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"215,831,000","89,609,000","67,389,000","101,888,000","49,982,000","62,481,000","56,195,000","73,436,000","111,099,000","43,543,000","123,250,000","112,330,000","130,328,000","75,288,000","86,086,000","86,876,000","91,785,000","66,066,000","17,548,000","28,776,000","29,796,000","20,223,000","27,336,000","27,918,000","28,234,000",,,,,,,
				InterestPayable,"9,480,000","16,583,000","14,169,000","4,492,000","5,591,000","5,432,000",,"5,757,000","5,757,000",,,,,,,,,,,,,,,,,,,,,,,
