name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989
				ConstructionInProgress,,,,,,,,,,,,,,,,"5,000","910,000",,"3,024,000",,,,,,,,,,,,,,
				Leases,,"12,517,000","12,648,000","13,277,000","14,865,000","14,366,000","13,213,000","16,695,000","16,460,000","13,484,000","13,842,000","13,612,000",,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,"-125,990,000","-141,367,000","-131,260,000","-134,786,000","-118,943,000","-154,078,000","-167,889,000","-168,923,000","-172,188,000","-164,737,000","-160,204,000","-153,418,000","-150,636,000","-152,847,000","-146,595,000","-142,698,000","-127,898,000","-114,367,000","-96,151,000",,"-66,600,000","-56,800,000","-47,800,000","-39,400,000","-31,400,000","-24,900,000","-13,900,000","-13,900,000","-9,700,000","-7,700,000","-6,800,000","-6,900,000"
		GoodwillAndOtherIntangibleAssets,"273,835,000","274,491,000","288,839,000","318,822,000","388,621,000","430,132,000","54,345,000","57,292,000","60,238,000","63,185,000",,"0","228,000","5,815,000","239,203,000","250,011,000","264,400,000","308,232,000","379,442,000","206,468,000","286,358,000","373,100,000",,,,,,,,,,,
			Goodwill,"267,514,000","267,514,000","267,514,000","267,514,000","269,758,000","267,549,000","44,808,000","44,808,000","44,808,000","44,808,000",,,,,"223,556,000",,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"6,321,000","6,977,000","21,325,000","51,308,000","118,863,000","162,583,000","9,537,000","12,484,000","15,430,000","18,377,000",,,"228,000","5,815,000","15,647,000","250,011,000","264,400,000","308,232,000","379,442,000","206,468,000","286,358,000","373,100,000",,,,,,,,,,,
		InvestmentsAndAdvances,,,,,,,"0","5,241,000","4,717,000","6,946,000","10,232,000","12,939,000",,,,,,,,,"189,407,000",,,,,,,,,,,,
			InvestmentinFinancialAssets,,,,,,,"0","5,241,000","4,717,000","6,946,000","10,232,000",,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,,,,,,,,"5,241,000","4,717,000",,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"577,000","478,000","215,000","198,000","372,000","578,000","20,105,000","11,703,000","29,218,000","45,130,000",,,,,,,,,,"65,590,000","34,634,000",,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"577,000","478,000","215,000","198,000","372,000","578,000","20,105,000","11,703,000","29,218,000","45,130,000",,,,,,,,,,"65,590,000","34,634,000",,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,,,,,,,,"3,640,000",,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"9,968,000","11,796,000","15,327,000","13,147,000","13,709,000","17,495,000","9,862,000","6,120,000","6,854,000","11,628,000","2,744,000",,"39,565,000","135,307,000","109,964,000","79,432,000","97,877,000","86,883,000","104,507,000","162,418,000",,"169,400,000","114,500,000","114,300,000","65,500,000","28,600,000","31,700,000","300,000","200,000","100,000",,"100,000","100,000"
TotalLiabilitiesNetMinorityInterest,"295,640,000","284,357,000","365,230,000","418,268,000","496,453,000","480,400,000","69,555,000","62,196,000","71,209,000","74,363,000","58,965,000","43,197,000","36,997,000","90,053,000","216,334,000","217,773,000","268,315,000","245,516,000","280,128,000","334,210,000","440,229,000","433,400,000","57,200,000","54,400,000","43,000,000","44,100,000","35,100,000","21,000,000","30,400,000","16,100,000","15,900,000","10,900,000","8,500,000"
	CurrentLiabilities,"79,731,000","99,819,000","69,418,000","83,647,000","157,550,000","111,177,000","60,746,000","58,608,000","53,093,000","51,976,000","54,340,000","37,957,000","29,381,000","81,011,000","111,726,000","63,887,000","72,560,000","39,101,000","45,722,000","59,109,000","164,704,000","161,200,000","57,200,000","54,400,000","43,000,000","44,200,000","35,100,000","21,000,000","30,400,000","15,800,000","15,300,000","9,600,000","5,800,000"
		PayablesAndAccruedExpenses,"66,969,000","66,695,000","55,050,000","60,290,000","90,798,000","83,761,000","45,800,000","51,113,000","36,391,000","41,215,000","38,648,000","27,797,000","16,947,000","32,978,000","85,016,000","53,438,000","61,138,000","28,500,000","33,597,000","38,255,000","83,644,000","84,700,000","18,600,000","18,200,000","14,300,000","15,000,000","12,800,000","6,300,000","17,100,000",,"8,500,000","6,900,000",
			Payables,"27,530,000","44,350,000","31,880,000","35,437,000","47,498,000","74,298,000","32,171,000","37,454,000","42,540,000","31,842,000","26,994,000","22,679,000","16,947,000","24,065,000","70,442,000","39,001,000","46,364,000","15,376,000","18,860,000","20,201,000","83,644,000","84,700,000","18,600,000","18,200,000","14,300,000","15,000,000","12,800,000","6,300,000","17,100,000",,"8,500,000","6,900,000",
				AccountsPayable,"27,530,000","44,350,000","31,880,000","35,350,000","37,800,000","74,298,000","32,171,000","37,454,000","42,540,000",,,,"16,947,000","24,065,000","70,442,000","39,001,000","46,364,000","15,376,000","18,860,000","20,201,000","74,160,000","84,700,000","18,600,000","18,200,000","14,300,000","15,000,000","12,800,000","6,300,000","17,100,000",,"8,500,000","6,900,000",
				TotalTaxPayable,,,,,,,,,,,,,,,,,,,,,"9,484,000",,,,,,,,,,,,
					IncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,"9,484,000",,,,,,,,,,,,
				OtherPayable,,,,"87,000","9,698,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"39,439,000","22,345,000","23,170,000","24,853,000","43,300,000","9,463,000","13,629,000","13,659,000",,"9,373,000","11,654,000","5,118,000",,"8,913,000","14,574,000","14,437,000","14,774,000","13,124,000","14,737,000","18,054,000",,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,"6,149,000",,,,,,,,,,,,"22,876,000",,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"12,762,000","26,160,000","8,290,000","1,508,000","33,767,000","7,557,000",,,,,,,,,,,,,,,,,,,,,,,"100,000","300,000","700,000","1,100,000","1,800,000"
			CurrentDebt,"12,762,000","21,474,000","8,290,000","1,508,000","33,767,000","7,557,000",,,,,,,,,,,,,,,,,,,,,,,"100,000","300,000","700,000","1,100,000","1,800,000"
				OtherCurrentBorrowings,,"21,474,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,,"4,686,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,"6,964,000","6,078,000","21,849,000","32,985,000","19,859,000","14,946,000","7,495,000","10,553,000","10,761,000","15,692,000","10,160,000","5,741,000","8,033,000","6,230,000","10,449,000","11,399,000","10,564,000","11,983,000","18,103,000","58,184,000",,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,"58,184,000",,,,,,,,,,,,
			CurrentDeferredRevenue,,"6,964,000","6,078,000","21,849,000","32,985,000","19,859,000","14,946,000","7,495,000","10,553,000","10,761,000","15,692,000","10,160,000","5,741,000","8,033,000","6,230,000","10,449,000","11,399,000","10,564,000","11,983,000","18,103,000",,,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,,,,,,,"6,693,000","40,000,000","20,480,000",,"23,000","37,000","142,000","2,751,000",,"76,500,000","38,600,000","36,200,000","28,700,000","29,200,000","22,300,000","14,700,000","13,200,000","15,500,000","6,100,000","1,600,000","4,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"215,909,000","184,538,000","295,812,000","334,621,000","338,903,000","369,223,000","8,809,000","3,588,000","18,116,000","22,387,000","4,625,000","5,240,000","7,616,000","9,042,000","104,608,000","153,886,000","195,755,000","206,415,000","234,406,000","275,101,000","275,525,000","272,200,000",,,,"-100,000",,,,"300,000","600,000","1,300,000","2,700,000"
		LongTermDebtAndCapitalLeaseObligation,"176,840,000","146,510,000","251,357,000","299,667,000","300,855,000","330,870,000",,,,,,,,,"89,120,000","133,500,000","169,000,000","184,000,000","208,061,000","260,000,000","260,000,000","272,200,000",,,,,,,,"200,000","600,000","1,200,000","2,600,000"
